location_name,latitude,longitude,location_id
Medicine Hat,50.03928,-110.67661,MED
Calgary,51.05011,-114.085,CAL
Sooke,48.37463,-123.728,SKE
Victoria,48.4359,-123.352,VIC
Chiliwack,49.16638,-121.953,CHIL
Osoyoos,49.03306,-119.452,OSOY
Castlegar,49.32317,-117.658,CAST
Creston,49.09987,-116.502,CRES
Cranbrook,49.49991,-115.769,CRAN
Crowsnest Pass,49.6325,-114.693,CROW
Lethbridge,49.69999,-112.819,LETH
